AQI,÷ ¡øµ»º∂,PM10,O3,SO2,PM2.5,NO2,CO,date
98.0,¡º,102.0,19.0,20.0,73,52.0,0.9,2015/12/9
201.0,÷ÿ∂»Œ€»æ,174.0,27.0,14.0,151,51.0,1.2,2015/12/10
293.0,÷ÿ∂»Œ€»æ,275.0,47.0,17.0,243,47.0,1.9,2015/12/11
307.0,—œ÷ÿŒ€»æ,333.0,18.0,14.0,257,58.0,2.6,2015/12/12
159.0,÷–∂»Œ€»æ,128.0,23.0,12.0,121,42.0,1.1,2015/12/13
149.0,«·∂»Œ€»æ,146.0,41.0,20.0,114,57.0,1.3,2015/12/14
61.0,¡º,72.0,54.0,17.0,40,44.0,0.7,2015/12/15
55.0,¡º,59.0,67.0,16.0,22,33.0,0.6,2015/12/16
80.0,¡º,102.0,41.0,24.0,46,64.0,1.1,2015/12/17
97.0,¡º,132.0,31.0,34.0,72,70.0,1.2,2015/12/18
140.0,«·∂»Œ€»æ,171.0,14.0,42.0,107,82.0,1.6,2015/12/19
129.0,«·∂»Œ€»æ,113.0,27.0,17.0,98,57.0,1.1,2015/12/20
107.0,«·∂»Œ€»æ,96.0,34.0,18.0,80,46.0,1.0,2015/12/21
145.0,«·∂»Œ€»æ,127.0,16.0,10.0,111,45.0,1.2,2015/12/22
220.0,÷ÿ∂»Œ€»æ,200.0,27.0,12.0,170,46.0,1.3,2015/12/23
208.0,÷ÿ∂»Œ€»æ,322.0,34.0,17.0,158,55.0,1.7,2015/12/24
334.0,—œ÷ÿŒ€»æ,320.0,85.0,44.0,284,84.0,2.4,2015/12/25
179.0,÷–∂»Œ€»æ,193.0,66.0,33.0,135,97.0,1.8,2015/12/26
185.0,÷–∂»Œ€»æ,217.0,32.0,16.0,139,62.0,1.7,2015/12/27
128.0,«·∂»Œ€»æ,135.0,14.0,11.0,97,39.0,1.1,2015/12/28
162.0,÷–∂»Œ€»æ,157.0,27.0,16.0,123,64.0,1.3,2015/12/29
211.0,÷ÿ∂»Œ€»æ,205.0,36.0,23.0,161,90.0,1.7,2015/12/30
159.0,÷–∂»Œ€»æ,163.0,67.0,30.0,121,77.0,1.3,2015/12/31
156.0,÷–∂»Œ€»æ,172.0,24.0,42.0,119,82.0,1.4,2016/1/1
190.0,÷–∂»Œ€»æ,204.0,29.0,53.0,143,90.0,1.8,2016/1/2
160.0,÷–∂»Œ€»æ,154.0,22.0,33.0,122,73.0,1.8,2016/1/3
243.0,÷ÿ∂»Œ€»æ,187.0,26.0,17.0,193,59.0,2.1,2016/1/4
132.0,«·∂»Œ€»æ,111.0,14.0,11.0,100,39.0,2.0,2016/1/5
118.0,«·∂»Œ€»æ,101.0,17.0,10.0,89,37.0,1.3,2016/1/6
133.0,«·∂»Œ€»æ,127.0,46.0,17.0,101,36.0,1.1,2016/1/7
180.0,÷–∂»Œ€»æ,169.0,39.0,23.0,136,65.0,1.8,2016/1/8
172.0,÷–∂»Œ€»æ,151.0,21.0,19.0,130,59.0,1.7,2016/1/9
145.0,«·∂»Œ€»æ,122.0,17.0,13.0,111,47.0,1.5,2016/1/10
238.0,÷ÿ∂»Œ€»æ,205.0,19.0,14.0,188,45.0,2.0,2016/1/11
102.0,«·∂»Œ€»æ,76.0,20.0,11.0,76,31.0,1.1,2016/1/12
118.0,«·∂»Œ€»æ,125.0,47.0,24.0,89,47.0,1.3,2016/1/13
175.0,÷–∂»Œ€»æ,167.0,28.0,26.0,132,73.0,1.4,2016/1/14
168.0,÷–∂»Œ€»æ,188.0,52.0,28.0,127,74.0,1.6,2016/1/15
166.0,÷–∂»Œ€»æ,206.0,26.0,19.0,126,74.0,1.6,2016/1/16
206.0,÷ÿ∂»Œ€»æ,212.0,92.0,22.0,156,50.0,1.5,2016/1/17
249.0,÷ÿ∂»Œ€»æ,232.0,58.0,26.0,199,44.0,1.8,2016/1/18
185.0,÷–∂»Œ€»æ,182.0,63.0,29.0,139,57.0,1.4,2016/1/19
134.0,«·∂»Œ€»æ,118.0,37.0,23.0,102,53.0,1.0,2016/1/20
94.0,¡º,84.0,32.0,12.0,70,36.0,0.8,2016/1/21
80.0,¡º,77.0,52.0,11.0,59,27.0,0.8,2016/1/22
90.0,¡º,75.0,76.0,20.0,67,24.0,0.9,2016/1/23
91.0,¡º,131.0,78.0,12.0,25,22.0,0.6,2016/1/24
87.0,¡º,123.0,79.0,16.0,38,52.0,0.7,2016/1/25
97.0,¡º,144.0,53.0,37.0,65,74.0,1.1,2016/1/26
97.0,¡º,129.0,31.0,39.0,72,68.0,1.2,2016/1/27
103.0,«·∂»Œ€»æ,105.0,26.0,14.0,77,53.0,1.0,2016/1/28
117.0,«·∂»Œ€»æ,94.0,50.0,10.0,88,36.0,1.1,2016/1/29
94.0,¡º,92.0,35.0,8.0,70,34.0,1.2,2016/1/30
130.0,«·∂»Œ€»æ,120.0,32.0,9.0,99,30.0,1.3,2016/1/31
149.0,«·∂»Œ€»æ,121.0,92.0,21.0,114,32.0,1.4,2016/2/1
150.0,«·∂»Œ€»æ,142.0,91.0,22.0,115,55.0,1.5,2016/2/2
130.0,«·∂»Œ€»æ,139.0,89.0,22.0,99,70.0,1.5,2016/2/3
119.0,«·∂»Œ€»æ,124.0,92.0,20.0,90,74.0,1.3,2016/2/4
114.0,«·∂»Œ€»æ,112.0,111.0,21.0,86,44.0,1.0,2016/2/5
63.0,¡º,75.0,101.0,17.0,26,21.0,0.5,2016/2/6
78.0,¡º,104.0,110.0,16.0,57,37.0,0.8,2016/2/7
208.0,÷ÿ∂»Œ€»æ,194.0,120.0,28.0,158,56.0,1.3,2016/2/8
147.0,«·∂»Œ€»æ,141.0,101.0,38.0,112,51.0,1.4,2016/2/9
87.0,¡º,93.0,74.0,34.0,64,51.0,1.3,2016/2/10
83.0,¡º,89.0,43.0,22.0,61,43.0,1.2,2016/2/11
99.0,¡º,77.0,28.0,14.0,74,26.0,1.4,2016/2/12
59.0,¡º,49.0,55.0,11.0,42,13.0,1.2,2016/2/13
49.0,”≈,49.0,60.0,12.0,31,13.0,0.6,2016/2/14
43.0,”≈,41.0,86.0,14.0,24,25.0,0.6,2016/2/15
62.0,¡º,61.0,95.0,15.0,37,49.0,0.8,2016/2/16
97.0,¡º,95.0,63.0,20.0,64,77.0,1.2,2016/2/17
97.0,¡º,99.0,79.0,21.0,66,77.0,1.2,2016/2/18
105.0,«·∂»Œ€»æ,159.0,72.0,23.0,75,58.0,1.0,2016/2/19
139.0,«·∂»Œ€»æ,227.0,97.0,17.0,60,45.0,0.6,2016/2/20
128.0,«·∂»Œ€»æ,206.0,65.0,23.0,69,39.0,0.9,2016/2/21
88.0,¡º,97.0,84.0,11.0,65,36.0,0.9,2016/2/22
195.0,÷–∂»Œ€»æ,197.0,73.0,11.0,146,35.0,1.1,2016/2/23
228.0,÷ÿ∂»Œ€»æ,217.0,88.0,18.0,178,55.0,1.6,2016/2/24
165.0,÷–∂»Œ€»æ,165.0,98.0,22.0,125,64.0,1.3,2016/2/25
92.0,¡º,111.0,94.0,14.0,68,35.0,0.8,2016/2/26
77.0,¡º,103.0,83.0,15.0,52,49.0,0.9,2016/2/27
113.0,«·∂»Œ€»æ,157.0,133.0,25.0,85,49.0,1.1,2016/2/28
99.0,¡º,129.0,118.0,22.0,74,54.0,1.0,2016/2/29
114.0,«·∂»Œ€»æ,143.0,114.0,30.0,86,55.0,1.1,2016/3/1
128.0,«·∂»Œ€»æ,186.0,86.0,35.0,97,94.0,1.6,2016/3/2
202.0,÷ÿ∂»Œ€»æ,249.0,26.0,38.0,152,117.0,1.9,2016/3/3
109.0,«·∂»Œ€»æ,124.0,92.0,16.0,82,53.0,1.1,2016/3/4
176.0,÷–∂»Œ€»æ,302.0,104.0,20.0,119,43.0,1.2,2016/3/5
186.0,÷–∂»Œ€»æ,232.0,100.0,22.0,140,56.0,1.3,2016/3/6
192.0,÷–∂»Œ€»æ,195.0,80.0,27.0,144,61.0,1.5,2016/3/7
55.0,¡º,35.0,62.0,8.0,39,19.0,0.9,2016/3/8
39.0,”≈,39.0,68.0,6.0,21,19.0,0.6,2016/3/9
54.0,¡º,58.0,79.0,10.0,38,27.0,0.6,2016/3/10
80.0,¡º,90.0,84.0,15.0,59,52.0,0.8,2016/3/11
87.0,¡º,113.0,71.0,34.0,64,61.0,1.0,2016/3/12
110.0,«·∂»Œ€»æ,125.0,89.0,19.0,83,52.0,1.1,2016/3/13
144.0,«·∂»Œ€»æ,145.0,131.0,24.0,110,62.0,1.1,2016/3/14
149.0,«·∂»Œ€»æ,166.0,95.0,32.0,114,74.0,1.1,2016/3/15
142.0,«·∂»Œ€»æ,185.0,107.0,25.0,108,87.0,1.3,2016/3/16
186.0,÷–∂»Œ€»æ,210.0,32.0,24.0,140,101.0,1.5,2016/3/17
166.0,÷–∂»Œ€»æ,166.0,118.0,17.0,126,63.0,1.1,2016/3/18
152.0,÷–∂»Œ€»æ,186.0,124.0,22.0,116,73.0,1.5,2016/3/19
123.0,«·∂»Œ€»æ,121.0,81.0,12.0,93,45.0,1.2,2016/3/20
93.0,¡º,132.0,116.0,17.0,69,52.0,1.0,2016/3/21
113.0,«·∂»Œ€»æ,163.0,140.0,23.0,85,71.0,1.2,2016/3/22
109.0,«·∂»Œ€»æ,111.0,112.0,9.0,82,27.0,0.7,2016/3/23
71.0,¡º,72.0,125.0,10.0,34,24.0,0.6,2016/3/24
70.0,¡º,90.0,105.0,19.0,36,52.0,0.7,2016/3/25
80.0,¡º,103.0,115.0,13.0,59,64.0,0.8,2016/3/26
80.0,¡º,95.0,129.0,13.0,59,64.0,0.8,2016/3/27
82.0,¡º,105.0,136.0,14.0,48,65.0,0.7,2016/3/28
88.0,¡º,110.0,47.0,17.0,58,70.0,0.8,2016/3/29
105.0,«·∂»Œ€»æ,90.0,32.0,8.0,79,50.0,1.0,2016/3/30
82.0,¡º,87.0,113.0,8.0,60,43.0,0.9,2016/3/31
87.0,¡º,111.0,109.0,20.0,64,54.0,1.1,2016/4/1
103.0,«·∂»Œ€»æ,119.0,42.0,15.0,77,62.0,1.4,2016/4/2
62.0,¡º,62.0,58.0,5.0,44,20.0,0.9,2016/4/3
64.0,¡º,71.0,78.0,11.0,46,35.0,1.1,2016/4/4
72.0,¡º,78.0,48.0,15.0,52,43.0,1.2,2016/4/5
42.0,”≈,21.0,21.0,4.0,17,33.0,1.1,2016/4/6
64.0,¡º,66.0,85.0,8.0,37,51.0,1.2,2016/4/7
106.0,«·∂»Œ€»æ,130.0,86.0,10.0,73,91.0,1.7,2016/4/8
104.0,«·∂»Œ€»æ,138.0,63.0,14.0,71,87.0,1.6,2016/4/9
103.0,«·∂»Œ€»æ,153.0,144.0,17.0,74,86.0,1.6,2016/4/10
111.0,«·∂»Œ€»æ,124.0,172.0,15.0,54,60.0,1.0,2016/4/11
82.0,¡º,114.0,124.0,15.0,52,57.0,1.0,2016/4/12
105.0,«·∂»Œ€»æ,160.0,151.0,13.0,75,84.0,1.1,2016/4/13
94.0,¡º,137.0,148.0,17.0,65,59.0,1.0,2016/4/14
59.0,¡º,67.0,96.0,14.0,34,34.0,0.8,2016/4/15
43.0,”≈,42.0,86.0,6.0,23,30.0,0.8,2016/4/16
57.0,¡º,61.0,66.0,8.0,31,45.0,0.8,2016/4/17
62.0,¡º,71.0,110.0,7.0,34,49.0,0.6,2016/4/18
71.0,¡º,91.0,124.0,13.0,40,41.0,0.8,2016/4/19
44.0,”≈,44.0,79.0,5.0,30,30.0,0.8,2016/4/20
80.0,¡º,80.0,135.0,6.0,42,44.0,0.9,2016/4/21
74.0,¡º,98.0,77.0,9.0,49,57.0,1.0,2016/4/22
45.0,”≈,43.0,86.0,6.0,25,36.0,0.7,2016/4/23
51.0,¡º,51.0,90.0,6.0,28,35.0,0.8,2016/4/24
60.0,¡º,70.0,110.0,8.0,40,45.0,0.9,2016/4/25
64.0,¡º,65.0,69.0,6.0,46,47.0,1.0,2016/4/26
80.0,¡º,98.0,134.0,6.0,59,26.0,0.8,2016/4/27
95.0,¡º,90.0,153.0,13.0,37,54.0,0.9,2016/4/28
103.0,«·∂»Œ€»æ,110.0,163.0,14.0,47,56.0,0.8,2016/4/29
99.0,¡º,116.0,158.0,11.0,47,55.0,0.8,2016/4/30
68.0,¡º,86.0,121.0,8.0,39,34.0,0.7,2016/5/1
66.0,¡º,81.0,61.0,5.0,36,29.0,0.7,2016/5/2
83.0,¡º,116.0,131.0,8.0,33,47.0,0.6,2016/5/3
87.0,¡º,123.0,109.0,13.0,42,55.0,0.9,2016/5/4
55.0,¡º,59.0,78.0,5.0,32,31.0,0.8,2016/5/5
71.0,¡º,92.0,102.0,8.0,50,42.0,1.2,2016/5/6
93.0,¡º,135.0,89.0,6.0,55,27.0,0.8,2016/5/7
69.0,¡º,87.0,68.0,4.0,41,25.0,0.7,2016/5/8
63.0,¡º,64.0,54.0,5.0,45,42.0,0.8,2016/5/9
69.0,¡º,78.0,93.0,5.0,50,41.0,0.9,2016/5/10
88.0,¡º,109.0,145.0,11.0,58,43.0,1.1,2016/5/11
106.0,«·∂»Œ€»æ,140.0,166.0,13.0,59,33.0,0.9,2016/5/12
75.0,¡º,96.0,129.0,10.0,34,29.0,0.7,2016/5/13
99.0,¡º,138.0,102.0,9.0,74,42.0,1.2,2016/5/14
58.0,¡º,66.0,80.0,4.0,23,30.0,0.6,2016/5/15
100.0,¡º,94.0,160.0,9.0,37,56.0,0.7,2016/5/16
94.0,¡º,100.0,152.0,17.0,47,57.0,0.8,2016/5/17
84.0,¡º,117.0,140.0,16.0,62,60.0,0.9,2016/5/18
122.0,«·∂»Œ€»æ,139.0,121.0,13.0,92,57.0,1.2,2016/5/19
68.0,¡º,58.0,102.0,5.0,49,30.0,0.9,2016/5/20
42.0,”≈,23.0,84.0,4.0,16,22.0,0.5,2016/5/21
45.0,”≈,45.0,87.0,5.0,22,33.0,0.6,2016/5/22
73.0,¡º,80.0,87.0,5.0,46,58.0,0.7,2016/5/23
88.0,¡º,97.0,145.0,6.0,58,58.0,0.8,2016/5/24
72.0,¡º,76.0,117.0,5.0,52,47.0,0.8,2016/5/25
49.0,”≈,44.0,92.0,4.0,34,34.0,0.7,2016/5/26
48.0,”≈,44.0,88.0,4.0,33,35.0,0.8,2016/5/27
54.0,¡º,32.0,104.0,4.0,17,26.0,0.7,2016/5/28
92.0,¡º,59.0,150.0,6.0,31,39.0,0.7,2016/5/29
93.0,¡º,91.0,151.0,9.0,44,51.0,0.9,2016/5/30
71.0,¡º,91.0,83.0,7.0,42,47.0,1.1,2016/5/31
38.0,”≈,38.0,64.0,6.0,17,24.0,0.9,2016/6/1
33.0,”≈,26.0,65.0,5.0,15,26.0,0.7,2016/6/2
55.0,¡º,59.0,75.0,6.0,30,40.0,0.8,2016/6/3
104.0,«·∂»Œ€»æ,86.0,164.0,6.0,45,49.0,0.7,2016/6/4
92.0,¡º,107.0,150.0,10.0,52,46.0,1.0,2016/6/5
90.0,¡º,57.0,148.0,10.0,26,37.0,0.9,2016/6/6
65.0,¡º,79.0,95.0,5.0,41,42.0,0.8,2016/6/7
87.0,¡º,81.0,144.0,5.0,47,38.0,0.7,2016/6/8
105.0,«·∂»Œ€»æ,97.0,165.0,8.0,47,46.0,0.8,2016/6/9
114.0,«·∂»Œ€»æ,123.0,175.0,9.0,62,53.0,1.1,2016/6/10
75.0,¡º,87.0,103.0,5.0,55,43.0,1.0,2016/6/11
63.0,¡º,61.0,115.0,5.0,32,45.0,0.8,2016/6/12
94.0,¡º,87.0,152.0,5.0,45,47.0,0.7,2016/6/13
83.0,¡º,85.0,139.0,6.0,39,42.0,0.7,2016/6/14
73.0,¡º,95.0,85.0,7.0,32,49.0,0.7,2016/6/15
113.0,«·∂»Œ€»æ,80.0,174.0,9.0,26,37.0,0.6,2016/6/16
112.0,«·∂»Œ€»æ,81.0,173.0,7.0,30,39.0,0.6,2016/6/17
60.0,¡º,70.0,100.0,6.0,30,29.0,0.6,2016/6/18
44.0,”≈,36.0,87.0,4.0,18,26.0,0.6,2016/6/19
53.0,¡º,45.0,77.0,4.0,23,42.0,1.0,2016/6/20
54.0,¡º,57.0,87.0,5.0,26,37.0,0.7,2016/6/21
56.0,¡º,61.0,105.0,7.0,26,37.0,0.6,2016/6/22
64.0,¡º,58.0,116.0,7.0,22,29.0,0.5,2016/6/23
47.0,”≈,25.0,93.0,6.0,10,22.0,0.7,2016/6/24
47.0,”≈,22.0,94.0,5.0,14,30.0,0.6,2016/6/25
50.0,”≈,45.0,65.0,6.0,29,40.0,0.8,2016/6/26
50.0,”≈,26.0,52.0,5.0,19,40.0,0.7,2016/6/27
58.0,¡º,33.0,57.0,6.0,21,46.0,0.7,2016/6/28
56.0,¡º,59.0,107.0,6.0,31,37.0,0.9,2016/6/29
49.0,”≈,49.0,64.0,6.0,20,32.0,0.7,2016/6/30
29.0,”≈,17.0,45.0,5.0,9,23.0,0.5,2016/7/1
43.0,”≈,13.0,42.0,4.0,7,34.0,0.6,2016/7/2
39.0,”≈,29.0,76.0,4.0,13,31.0,0.6,2016/7/3
40.0,”≈,19.0,79.0,4.0,7,25.0,0.6,2016/7/4
44.0,”≈,26.0,59.0,4.0,13,35.0,0.6,2016/7/5
35.0,”≈,22.0,38.0,4.0,11,28.0,0.8,2016/7/6
103.0,«·∂»Œ€»æ,57.0,163.0,5.0,28,43.0,0.9,2016/7/7
102.0,«·∂»Œ€»æ,64.0,162.0,5.0,32,38.0,0.8,2016/7/8
96.0,¡º,60.0,155.0,7.0,26,29.0,0.7,2016/7/9
68.0,¡º,59.0,121.0,6.0,30,25.0,0.6,2016/7/10
69.0,¡º,64.0,122.0,6.0,31,32.0,0.6,2016/7/11
128.0,«·∂»Œ€»æ,92.0,190.0,5.0,42,43.0,0.8,2016/7/12
58.0,¡º,62.0,109.0,5.0,31,38.0,0.8,2016/7/13
70.0,¡º,59.0,124.0,5.0,36,28.0,0.8,2016/7/14
38.0,”≈,25.0,64.0,4.0,12,30.0,0.7,2016/7/15
121.0,«·∂»Œ€»æ,52.0,183.0,6.0,23,35.0,1.0,2016/7/16
58.0,¡º,66.0,106.0,6.0,30,30.0,0.8,2016/7/17
55.0,¡º,47.0,105.0,6.0,20,25.0,0.6,2016/7/18
43.0,”≈,43.0,44.0,4.0,23,27.0,0.8,2016/7/19
36.0,”≈,36.0,58.0,4.0,15,21.0,0.5,2016/7/20
45.0,”≈,44.0,89.0,5.0,18,22.0,0.6,2016/7/21
60.0,¡º,51.0,111.0,6.0,18,22.0,0.5,2016/7/22
70.0,¡º,60.0,124.0,5.0,23,23.0,0.5,2016/7/23
63.0,¡º,65.0,115.0,5.0,21,28.0,0.6,2016/7/24
90.0,¡º,90.0,148.0,5.0,31,31.0,0.7,2016/7/25
91.0,¡º,98.0,149.0,6.0,39,38.0,0.6,2016/7/26
100.0,¡º,98.0,160.0,5.0,39,35.0,0.7,2016/7/27
110.0,«·∂»Œ€»æ,90.0,170.0,6.0,38,28.0,0.6,2016/7/28
90.0,¡º,71.0,148.0,7.0,27,28.0,0.5,2016/7/29
70.0,¡º,79.0,124.0,7.0,24,39.0,0.5,2016/7/30
121.0,«·∂»Œ€»æ,120.0,183.0,8.0,35,48.0,0.8,2016/7/31
136.0,«·∂»Œ€»æ,93.0,199.0,7.0,37,35.0,0.8,2016/8/1
74.0,¡º,60.0,128.0,7.0,24,32.0,0.8,2016/8/2
47.0,”≈,47.0,84.0,6.0,20,28.0,0.8,2016/8/3
38.0,”≈,32.0,56.0,5.0,15,30.0,0.7,2016/8/4
57.0,¡º,64.0,101.0,6.0,30,32.0,0.8,2016/8/5
55.0,¡º,55.0,58.0,5.0,26,44.0,0.7,2016/8/6
56.0,¡º,61.0,97.0,6.0,26,41.0,0.8,2016/8/7
46.0,”≈,46.0,72.0,5.0,22,29.0,0.7,2016/8/8
64.0,¡º,62.0,116.0,5.0,30,28.0,0.7,2016/8/9
59.0,¡º,61.0,110.0,6.0,25,30.0,0.7,2016/8/10
100.0,¡º,68.0,159.0,6.0,28,31.0,0.8,2016/8/11
100.0,¡º,73.0,160.0,6.0,29,33.0,0.7,2016/8/12
93.0,¡º,76.0,151.0,6.0,26,34.0,0.7,2016/8/13
94.0,¡º,68.0,152.0,6.0,25,34.0,0.8,2016/8/14
94.0,¡º,81.0,152.0,7.0,30,33.0,0.8,2016/8/15
107.0,«·∂»Œ€»æ,107.0,167.0,8.0,50,32.0,1.0,2016/8/16
137.0,«·∂»Œ€»æ,114.0,200.0,6.0,58,31.0,1.1,2016/8/17
137.0,«·∂»Œ€»æ,106.0,200.0,8.0,47,38.0,0.9,2016/8/18
82.0,¡º,94.0,138.0,8.0,31,38.0,0.8,2016/8/19
80.0,¡º,110.0,134.0,6.0,43,35.0,1.0,2016/8/20
75.0,¡º,68.0,130.0,5.0,36,15.0,1.0,2016/8/21
88.0,¡º,91.0,145.0,6.0,48,21.0,1.0,2016/8/22
94.0,¡º,104.0,152.0,6.0,52,41.0,1.2,2016/8/23
118.0,«·∂»Œ€»æ,130.0,179.0,6.0,58,47.0,1.2,2016/8/24
91.0,¡º,107.0,149.0,6.0,52,39.0,1.1,2016/8/25
27.0,”≈,24.0,54.0,5.0,9,16.0,0.6,2016/8/26
84.0,¡º,56.0,140.0,11.0,20,24.0,0.7,2016/8/27
100.0,¡º,67.0,160.0,12.0,25,43.0,0.7,2016/8/28
117.0,«·∂»Œ€»æ,90.0,178.0,17.0,32,55.0,0.9,2016/8/29
123.0,«·∂»Œ€»æ,111.0,185.0,15.0,46,45.0,0.9,2016/8/30
90.0,¡º,94.0,148.0,11.0,45,35.0,0.6,2016/8/31
96.0,¡º,99.0,155.0,10.0,53,30.0,0.8,2016/9/1
163.0,÷–∂»Œ€»æ,117.0,228.0,11.0,49,59.0,0.9,2016/9/2
131.0,«·∂»Œ€»æ,149.0,194.0,14.0,63,70.0,1.1,2016/9/3
91.0,¡º,125.0,149.0,17.0,50,68.0,1.0,2016/9/4
114.0,«·∂»Œ€»æ,121.0,175.0,16.0,46,68.0,0.9,2016/9/5
64.0,¡º,77.0,108.0,9.0,30,44.0,0.6,2016/9/6
94.0,¡º,96.0,152.0,17.0,45,44.0,0.6,2016/9/7
111.0,«·∂»Œ€»æ,131.0,172.0,13.0,54,59.0,0.8,2016/9/8
89.0,¡º,128.0,109.0,13.0,64,55.0,0.9,2016/9/9
89.0,¡º,80.0,146.0,9.0,42,42.0,0.7,2016/9/10
133.0,«·∂»Œ€»æ,113.0,196.0,12.0,47,49.0,0.8,2016/9/11
118.0,«·∂»Œ€»æ,102.0,179.0,16.0,45,44.0,0.9,2016/9/12
97.0,¡º,86.0,156.0,15.0,36,43.0,0.8,2016/9/13
134.0,«·∂»Œ€»æ,100.0,197.0,13.0,45,43.0,0.9,2016/9/14
61.0,¡º,56.0,113.0,8.0,25,22.0,0.6,2016/9/15
34.0,”≈,32.0,68.0,6.0,12,16.0,0.4,2016/9/16
52.0,¡º,38.0,102.0,8.0,13,22.0,0.5,2016/9/17
85.0,¡º,71.0,142.0,10.0,31,31.0,0.6,2016/9/18
79.0,¡º,92.0,134.0,11.0,39,26.0,0.7,2016/9/19
96.0,¡º,91.0,155.0,14.0,32,26.0,0.6,2016/9/20
101.0,«·∂»Œ€»æ,100.0,161.0,15.0,39,51.0,0.7,2016/9/21
130.0,«·∂»Œ€»æ,154.0,193.0,16.0,62,75.0,1.0,2016/9/22
125.0,«·∂»Œ€»æ,154.0,187.0,20.0,67,75.0,1.0,2016/9/23
122.0,«·∂»Œ€»æ,164.0,184.0,19.0,75,80.0,1.1,2016/9/24
115.0,«·∂»Œ€»æ,162.0,127.0,20.0,87,64.0,1.3,2016/9/25
132.0,«·∂»Œ€»æ,155.0,195.0,12.0,93,46.0,1.2,2016/9/26
55.0,¡º,59.0,105.0,8.0,38,22.0,0.9,2016/9/27
49.0,”≈,49.0,65.0,7.0,14,16.0,0.7,2016/9/28
34.0,”≈,34.0,52.0,7.0,20,21.0,0.6,2016/9/29
40.0,”≈,32.0,50.0,8.0,20,32.0,0.6,2016/9/30
62.0,¡º,52.0,29.0,8.0,35,49.0,0.8,2016/10/1
59.0,¡º,68.0,33.0,8.0,38,37.0,0.8,2016/10/2
84.0,¡º,102.0,66.0,9.0,62,63.0,1.5,2016/10/3
79.0,¡º,91.0,124.0,12.0,49,63.0,1.3,2016/10/4
68.0,¡º,85.0,119.0,11.0,45,52.0,0.9,2016/10/5
87.0,¡º,108.0,125.0,11.0,64,46.0,1.1,2016/10/6
79.0,¡º,96.0,99.0,10.0,58,35.0,1.0,2016/10/7
64.0,¡º,74.0,116.0,9.0,43,26.0,0.8,2016/10/8
79.0,¡º,66.0,134.0,14.0,33,33.0,0.9,2016/10/9
55.0,¡º,59.0,102.0,11.0,24,31.0,0.7,2016/10/10
60.0,¡º,69.0,42.0,11.0,39,39.0,0.8,2016/10/11
50.0,”≈,37.0,31.0,7.0,30,40.0,0.8,2016/10/12
53.0,¡º,51.0,36.0,8.0,37,41.0,0.7,2016/10/13
60.0,¡º,69.0,32.0,7.0,41,48.0,0.9,2016/10/14
77.0,¡º,97.0,45.0,9.0,56,58.0,1.3,2016/10/15
43.0,”≈,43.0,55.0,7.0,30,33.0,0.9,2016/10/16
87.0,¡º,86.0,77.0,12.0,45,69.0,1.3,2016/10/17
72.0,¡º,76.0,102.0,12.0,40,57.0,1.1,2016/10/18
113.0,«·∂»Œ€»æ,134.0,34.0,10.0,85,64.0,1.6,2016/10/19
75.0,¡º,69.0,13.0,7.0,55,44.0,1.5,2016/10/20
38.0,”≈,29.0,40.0,7.0,15,30.0,1.1,2016/10/21
35.0,”≈,17.0,29.0,5.0,8,28.0,1.2,2016/10/22
38.0,”≈,22.0,22.0,6.0,12,30.0,1.3,2016/10/23
35.0,”≈,34.0,10.0,6.0,15,28.0,1.1,2016/10/24
49.0,”≈,28.0,30.0,6.0,17,39.0,1.2,2016/10/25
40.0,”≈,17.0,12.0,5.0,11,32.0,1.1,2016/10/26
43.0,”≈,37.0,9.0,6.0,22,34.0,1.5,2016/10/27
32.0,”≈,24.0,50.0,5.0,15,25.0,0.9,2016/10/28
37.0,”≈,20.0,43.0,5.0,14,29.0,0.8,2016/10/29
53.0,¡º,43.0,34.0,7.0,30,42.0,1.0,2016/10/30
43.0,”≈,28.0,28.0,6.0,22,34.0,0.9,2016/10/31
42.0,”≈,42.0,27.0,7.0,28,32.0,0.9,2016/11/1
53.0,¡º,55.0,59.0,7.0,36,37.0,0.8,2016/11/2
82.0,¡º,94.0,57.0,9.0,60,53.0,1.0,2016/11/3
82.0,¡º,107.0,64.0,11.0,60,64.0,1.4,2016/11/4
97.0,¡º,131.0,62.0,18.0,72,77.0,1.5,2016/11/5
110.0,«·∂»Œ€»æ,128.0,72.0,14.0,83,56.0,1.3,2016/11/6
99.0,¡º,83.0,44.0,7.0,74,31.0,1.3,2016/11/7
67.0,¡º,49.0,56.0,8.0,48,25.0,0.8,2016/11/8
64.0,¡º,53.0,49.0,8.0,46,39.0,0.7,2016/11/9
65.0,¡º,61.0,61.0,9.0,47,45.0,0.7,2016/11/10
74.0,¡º,86.0,51.0,14.0,48,59.0,1.1,2016/11/11
85.0,¡º,114.0,49.0,15.0,57,68.0,1.3,2016/11/12
107.0,«·∂»Œ€»æ,144.0,29.0,18.0,80,75.0,1.8,2016/11/13
122.0,«·∂»Œ€»æ,159.0,39.0,16.0,92,82.0,1.9,2016/11/14
182.0,÷–∂»Œ€»æ,172.0,40.0,12.0,137,67.0,1.6,2016/11/15
119.0,«·∂»Œ€»æ,107.0,42.0,11.0,90,52.0,1.6,2016/11/16
54.0,¡º,52.0,11.0,7.0,38,37.0,1.2,2016/11/17
59.0,¡º,68.0,4.0,8.0,39,42.0,1.5,2016/11/18
